"subject";"log_concentration";"intensity";"AFC"
"S002";-1.82390874094432;2;0
"S005";-1.82390874094432;3;1
"S008";-1.82390874094432;5;0
"S009";-1.82390874094432;8;1
"S012";-1.82390874094432;4;0
"S013";-1.82390874094432;7;1
"S014";-1.82390874094432;3;0
"S015";-1.82390874094432;6;1
"S021";-1.82390874094432;1;1
"S023";-1.82390874094432;1;1
"S026";-1.82390874094432;2;0
"S028";-1.82390874094432;2;0
"S030";-1.82390874094432;6;0
"S038";-1.82390874094432;6;0
"S040";-1.82390874094432;1;0
"S046";-1.82390874094432;4;0
"S049";-1.82390874094432;1;1
"S051";-1.82390874094432;1;1
"S052";-1.82390874094432;2;0
"S054";-1.82390874094432;3;1
"S058";-1.82390874094432;3;1
"S059";-1.82390874094432;4;0
"S061";-1.82390874094432;5;1
"S064";-1.82390874094432;4;1
"S069";-1.82390874094432;2;0
"S072";-1.82390874094432;1;0
"S079";-1.82390874094432;2;1
"S080";-1.82390874094432;1;1
"S087";-1.82390874094432;3;0
"S090";-1.82390874094432;1;0
"S099";-1.82390874094432;8;1
"S102";-1.82390874094432;2;0
"S104";-1.82390874094432;3;1
"S112";-1.82390874094432;5;1
"S115";-1.82390874094432;4;0
"S121";-1.82390874094432;3;0
"S122";-1.82390874094432;2;0
"S126";-1.82390874094432;2;0
"S127";-1.82390874094432;6;1
"S129";-1.82390874094432;2;1
"S132";-1.82390874094432;2;0
"S134";-1.82390874094432;4;1
"S135";-1.82390874094432;3;0
"S137";-1.82390874094432;1;1
"S139";-1.82390874094432;2;0
"S143";-1.82390874094432;2;1
"S150";-1.82390874094432;2;0
"S152";-1.82390874094432;3;0
"S154";-1.82390874094432;7;0
"S155";-1.82390874094432;4;1
"S156";-1.82390874094432;3;0
"S160";-1.82390874094432;1;0
"S169";-1.82390874094432;4;0
"S171";-1.82390874094432;0;0
"S172";-1.82390874094432;6;0
"S175";-1.82390874094432;2;0
"S176";-1.82390874094432;4;0
"S177";-1.82390874094432;2;1
"S179";-1.82390874094432;6;0
"S181";-1.82390874094432;2;0
"S182";-1.82390874094432;3;1
"S186";-1.82390874094432;1;0
"S190";-1.82390874094432;2;0
"S193";-1.82390874094432;3;1
"S018";-1.82390874094432;6;0
"S075";-1.82390874094432;4;0
"S084";-1.82390874094432;6;1
"S106";-1.82390874094432;3;0
"S109";-1.82390874094432;6;1
"S056";-1.82390874094432;6;0
"S065";-1.82390874094432;5;1
"S020";-1.82390874094432;3;0
"S025";-1.82390874094432;6;0
"S027";-1.82390874094432;3;1
"S035";-1.82390874094432;3;1
"S043";-1.82390874094432;1;0
"S045";-1.82390874094432;3;1
"S055";-1.82390874094432;4;1
"S078";-1.82390874094432;6;0
"S085";-1.82390874094432;6;0
"S092";-1.82390874094432;0;0
"S118";-1.82390874094432;6;1
"S128";-1.82390874094432;6;0
"S144";-1.82390874094432;4;0
"S191";-1.82390874094432;1;0
"S019";-1.82390874094432;7;0
"S022";-1.82390874094432;4;0
"S037";-1.82390874094432;2;0
"S039";-1.82390874094432;4;0
"S057";-1.82390874094432;3;1
"S060";-1.82390874094432;2;0
"S071";-1.82390874094432;2;0
"S073";-1.82390874094432;0;0
"S076";-1.82390874094432;3;0
"S088";-1.82390874094432;3;1
"S093";-1.82390874094432;6;0
"S101";-1.82390874094432;2;1
"S119";-1.82390874094432;0;0
"S120";-1.82390874094432;1;0
"S123";-1.82390874094432;2;1
"S125";-1.82390874094432;4;1
"S130";-1.82390874094432;3;0
"S147";-1.82390874094432;4;0
"S148";-1.82390874094432;8;1
"S153";-1.82390874094432;1;0
"S168";-1.82390874094432;3;1
"S184";-1.82390874094432;2;0
"S185";-1.82390874094432;0;0
"S074";-1.82390874094432;5;1
"S110";-1.82390874094432;2;1
"S165";-1.82390874094432;2;1
"S041";-1.82390874094432;0;0
"S053";-1.82390874094432;4;0
"S161";-1.82390874094432;1;0
"S174";-1.82390874094432;2;0
"S068";-1.82390874094432;5;0
"S166";-1.82390874094432;4;1
"S063";-1.82390874094432;3;0
"S004";-1.82390874094432;6;0
"S094";-1.82390874094432;0;1
"S105";-1.82390874094432;6;1
"S117";-1.82390874094432;1;1
"S146";-1.82390874094432;0;0
"S163";-1.82390874094432;2;0
"S024";-1.82390874094432;1;1
"S036";-1.82390874094432;0;0
"S044";-1.82390874094432;4;1
"S047";-1.82390874094432;4;1
"S048";-1.82390874094432;1;1
"S086";-1.82390874094432;1;0
"S095";-1.82390874094432;2;0
"S100";-1.82390874094432;4;1
"S138";-1.82390874094432;2;0
"S141";-1.82390874094432;4;0
"S158";-1.82390874094432;1;0
"S159";-1.82390874094432;4;0
"S187";-1.82390874094432;4;0
"S070";-1.82390874094432;2;0
"S083";-1.82390874094432;3;1
"S096";-1.82390874094432;7;0
"S108";-1.82390874094432;3;1
"S164";-1.82390874094432;0;0
"S178";-1.82390874094432;3;0
"S189";-1.82390874094432;1;0
"S194";-1.82390874094432;5;0
"S006";-1.82390874094432;2;0
"S145";-1.82390874094432;1;0
"S188";-1.82390874094432;0;0
"S032";-1.82390874094432;7;0
"S066";-1.82390874094432;4;0
"S029";-1.82390874094432;3;0
"S062";-1.82390874094432;1;0
"S133";-1.82390874094432;2;1
"S136";-1.82390874094432;4;0
"S149";-1.82390874094432;2;0
"S162";-1.82390874094432;8;1
"S173";-1.82390874094432;1;0
"S011";-1.82390874094432;3;0
"S034";-1.82390874094432;3;1
"S042";-1.82390874094432;3;0
"S081";-1.82390874094432;7;0
"S091";-1.82390874094432;2;1
"S170";-1.82390874094432;1;1
"S192";-1.82390874094432;4;0
"S007";-1.82390874094432;6;0
"S016";-1.82390874094432;4;0
"S098";-1.82390874094432;2;1
"S103";-1.82390874094432;3;0
"S111";-1.82390874094432;1;0
"S167";-1.82390874094432;2;0
"S180";-1.82390874094432;1;1
"S114";-1.82390874094432;4;0
"S031";-1.82390874094432;2;1
"S082";-1.82390874094432;6;1
"S151";-1.82390874094432;2;1
"S157";-1.82390874094432;2;1
"S001";-1.82390874094432;3;0
"S010";-1.82390874094432;7;1
"S107";-1.82390874094432;3;0
"S003";-1.82390874094432;4;0
"S077";-1.82390874094432;3;0
"S097";-1.82390874094432;0;0
"S142";-1.82390874094432;4;0
"S183";-1.82390874094432;0;0
"S017";-1.82390874094432;3;1
"S140";-1.82390874094432;5;1
"S033";-1.82390874094432;2;0
"S113";-1.82390874094432;2;0
"S050";-1.82390874094432;1;1
"S116";-1.82390874094432;2;1
"S067";-1.82390874094432;2;0
"S124";-1.82390874094432;2;0
"S131";-1.82390874094432;0;0
"S002";-1.56863623584101;4;0
"S005";-1.56863623584101;2;0
"S008";-1.56863623584101;3;0
"S009";-1.56863623584101;5;1
"S012";-1.56863623584101;7;0
"S013";-1.56863623584101;8;1
"S014";-1.56863623584101;2;0
"S015";-1.56863623584101;7;1
"S021";-1.56863623584101;3;1
"S023";-1.56863623584101;0;1
"S026";-1.56863623584101;3;0
"S028";-1.56863623584101;3;0
"S030";-1.56863623584101;4;0
"S038";-1.56863623584101;4;1
"S040";-1.56863623584101;1;1
"S046";-1.56863623584101;1;1
"S049";-1.56863623584101;3;0
"S051";-1.56863623584101;1;1
"S052";-1.56863623584101;3;0
"S054";-1.56863623584101;5;0
"S058";-1.56863623584101;5;0
"S059";-1.56863623584101;6;1
"S061";-1.56863623584101;2;0
"S064";-1.56863623584101;6;0
"S069";-1.56863623584101;5;0
"S072";-1.56863623584101;2;1
"S079";-1.56863623584101;6;1
"S080";-1.56863623584101;2;0
"S087";-1.56863623584101;5;0
"S090";-1.56863623584101;1;0
"S099";-1.56863623584101;8;0
"S102";-1.56863623584101;6;1
"S104";-1.56863623584101;4;1
"S112";-1.56863623584101;3;0
"S115";-1.56863623584101;4;0
"S121";-1.56863623584101;3;1
"S122";-1.56863623584101;2;1
"S126";-1.56863623584101;1;1
"S127";-1.56863623584101;7;0
"S129";-1.56863623584101;4;0
"S132";-1.56863623584101;2;0
"S134";-1.56863623584101;3;0
"S135";-1.56863623584101;4;0
"S137";-1.56863623584101;1;1
"S139";-1.56863623584101;1;1
"S143";-1.56863623584101;1;1
"S150";-1.56863623584101;2;0
"S152";-1.56863623584101;2;1
"S154";-1.56863623584101;8;1
"S155";-1.56863623584101;5;0
"S156";-1.56863623584101;2;1
"S160";-1.56863623584101;3;0
"S169";-1.56863623584101;3;0
"S171";-1.56863623584101;0;0
"S172";-1.56863623584101;3;0
"S175";-1.56863623584101;3;0
"S176";-1.56863623584101;6;1
"S177";-1.56863623584101;1;0
"S179";-1.56863623584101;8;1
"S181";-1.56863623584101;2;0
"S182";-1.56863623584101;2;0
"S186";-1.56863623584101;3;0
"S190";-1.56863623584101;3;0
"S193";-1.56863623584101;4;1
"S018";-1.56863623584101;9;1
"S075";-1.56863623584101;6;0
"S084";-1.56863623584101;8;0
"S106";-1.56863623584101;4;1
"S109";-1.56863623584101;3;1
"S056";-1.56863623584101;5;0
"S065";-1.56863623584101;6;0
"S020";-1.56863623584101;2;0
"S025";-1.56863623584101;3;0
"S027";-1.56863623584101;3;1
"S035";-1.56863623584101;3;0
"S043";-1.56863623584101;1;0
"S045";-1.56863623584101;4;1
"S055";-1.56863623584101;5;1
"S078";-1.56863623584101;3;1
"S085";-1.56863623584101;6;1
"S092";-1.56863623584101;1;0
"S118";-1.56863623584101;6;0
"S128";-1.56863623584101;5;0
"S144";-1.56863623584101;5;1
"S191";-1.56863623584101;0;0
"S019";-1.56863623584101;3;0
"S022";-1.56863623584101;6;0
"S037";-1.56863623584101;6;0
"S039";-1.56863623584101;3;1
"S057";-1.56863623584101;2;0
"S060";-1.56863623584101;2;0
"S071";-1.56863623584101;2;0
"S073";-1.56863623584101;1;0
"S076";-1.56863623584101;6;0
"S088";-1.56863623584101;3;0
"S093";-1.56863623584101;3;1
"S101";-1.56863623584101;3;0
"S119";-1.56863623584101;1;1
"S120";-1.56863623584101;2;0
"S123";-1.56863623584101;1;0
"S125";-1.56863623584101;5;0
"S130";-1.56863623584101;1;0
"S147";-1.56863623584101;4;0
"S148";-1.56863623584101;6;1
"S153";-1.56863623584101;2;1
"S168";-1.56863623584101;6;0
"S184";-1.56863623584101;2;1
"S185";-1.56863623584101;0;0
"S074";-1.56863623584101;7;0
"S110";-1.56863623584101;6;0
"S165";-1.56863623584101;4;0
"S041";-1.56863623584101;2;0
"S053";-1.56863623584101;2;0
"S161";-1.56863623584101;2;0
"S174";-1.56863623584101;1;0
"S068";-1.56863623584101;5;0
"S166";-1.56863623584101;6;0
"S063";-1.56863623584101;5;0
"S004";-1.56863623584101;4;0
"S094";-1.56863623584101;0;0
"S105";-1.56863623584101;4;0
"S117";-1.56863623584101;1;1
"S146";-1.56863623584101;1;0
"S163";-1.56863623584101;2;0
"S024";-1.56863623584101;1;0
"S036";-1.56863623584101;1;1
"S044";-1.56863623584101;1;0
"S047";-1.56863623584101;4;0
"S048";-1.56863623584101;1;0
"S086";-1.56863623584101;1;1
"S095";-1.56863623584101;3;1
"S100";-1.56863623584101;5;0
"S138";-1.56863623584101;3;0
"S141";-1.56863623584101;4;1
"S158";-1.56863623584101;3;0
"S159";-1.56863623584101;5;1
"S187";-1.56863623584101;6;0
"S070";-1.56863623584101;3;0
"S083";-1.56863623584101;3;0
"S096";-1.56863623584101;4;1
"S108";-1.56863623584101;3;0
"S164";-1.56863623584101;0;0
"S178";-1.56863623584101;4;0
"S189";-1.56863623584101;3;0
"S194";-1.56863623584101;6;0
"S006";-1.56863623584101;2;1
"S145";-1.56863623584101;6;1
"S188";-1.56863623584101;1;1
"S032";-1.56863623584101;8;1
"S066";-1.56863623584101;5;1
"S029";-1.56863623584101;2;1
"S062";-1.56863623584101;5;0
"S133";-1.56863623584101;1;0
"S136";-1.56863623584101;5;0
"S149";-1.56863623584101;3;1
"S162";-1.56863623584101;6;1
"S173";-1.56863623584101;3;0
"S011";-1.56863623584101;4;0
"S034";-1.56863623584101;2;0
"S042";-1.56863623584101;7;0
"S081";-1.56863623584101;3;1
"S091";-1.56863623584101;1;0
"S170";-1.56863623584101;1;0
"S192";-1.56863623584101;3;0
"S007";-1.56863623584101;7;0
"S016";-1.56863623584101;1;1
"S098";-1.56863623584101;4;0
"S103";-1.56863623584101;5;0
"S111";-1.56863623584101;2;1
"S167";-1.56863623584101;3;0
"S180";-1.56863623584101;6;1
"S114";-1.56863623584101;5;0
"S031";-1.56863623584101;3;1
"S082";-1.56863623584101;6;1
"S151";-1.56863623584101;2;1
"S157";-1.56863623584101;4;1
"S001";-1.56863623584101;1;0
"S010";-1.56863623584101;5;0
"S107";-1.56863623584101;2;0
"S003";-1.56863623584101;6;1
"S077";-1.56863623584101;5;0
"S097";-1.56863623584101;6;1
"S142";-1.56863623584101;5;1
"S183";-1.56863623584101;2;1
"S017";-1.56863623584101;3;1
"S140";-1.56863623584101;6;1
"S033";-1.56863623584101;0;0
"S113";-1.56863623584101;1;0
"S050";-1.56863623584101;2;1
"S116";-1.56863623584101;1;0
"S067";-1.56863623584101;7;1
"S124";-1.56863623584101;7;1
"S131";-1.56863623584101;5;0
"S002";-1.30102999566398;4;0
"S005";-1.30102999566398;4;1
"S008";-1.30102999566398;3;1
"S009";-1.30102999566398;3;0
"S012";-1.30102999566398;2;0
"S013";-1.30102999566398;7;0
"S014";-1.30102999566398;1;0
"S015";-1.30102999566398;3;0
"S021";-1.30102999566398;2;0
"S023";-1.30102999566398;6;0
"S026";-1.30102999566398;4;0
"S028";-1.30102999566398;3;0
"S030";-1.30102999566398;6;0
"S038";-1.30102999566398;4;1
"S040";-1.30102999566398;1;0
"S046";-1.30102999566398;0;0
"S049";-1.30102999566398;1;0
"S051";-1.30102999566398;2;1
"S052";-1.30102999566398;2;0
"S054";-1.30102999566398;3;0
"S058";-1.30102999566398;6;1
"S059";-1.30102999566398;5;0
"S061";-1.30102999566398;3;0
"S064";-1.30102999566398;7;1
"S069";-1.30102999566398;5;0
"S072";-1.30102999566398;4;1
"S079";-1.30102999566398;4;0
"S080";-1.30102999566398;3;1
"S087";-1.30102999566398;5;1
"S090";-1.30102999566398;0;0
"S099";-1.30102999566398;6;0
"S102";-1.30102999566398;8;1
"S104";-1.30102999566398;5;0
"S112";-1.30102999566398;6;0
"S115";-1.30102999566398;6;1
"S121";-1.30102999566398;1;1
"S122";-1.30102999566398;3;1
"S126";-1.30102999566398;1;1
"S127";-1.30102999566398;6;1
"S129";-1.30102999566398;3;0
"S132";-1.30102999566398;3;1
"S134";-1.30102999566398;8;1
"S135";-1.30102999566398;2;1
"S137";-1.30102999566398;1;1
"S139";-1.30102999566398;4;1
"S143";-1.30102999566398;3;1
"S150";-1.30102999566398;3;1
"S152";-1.30102999566398;1;1
"S154";-1.30102999566398;6;0
"S155";-1.30102999566398;3;0
"S156";-1.30102999566398;1;0
"S160";-1.30102999566398;3;0
"S169";-1.30102999566398;6;1
"S171";-1.30102999566398;0;1
"S172";-1.30102999566398;1;0
"S175";-1.30102999566398;0;0
"S176";-1.30102999566398;9;1
"S177";-1.30102999566398;1;0
"S179";-1.30102999566398;6;1
"S181";-1.30102999566398;3;0
"S182";-1.30102999566398;7;1
"S186";-1.30102999566398;3;0
"S190";-1.30102999566398;3;0
"S193";-1.30102999566398;2;1
"S018";-1.30102999566398;8;0
"S075";-1.30102999566398;3;0
"S084";-1.30102999566398;3;0
"S106";-1.30102999566398;5;0
"S109";-1.30102999566398;4;0
"S056";-1.30102999566398;5;0
"S065";-1.30102999566398;6;0
"S020";-1.30102999566398;5;1
"S025";-1.30102999566398;3;0
"S027";-1.30102999566398;2;1
"S035";-1.30102999566398;3;1
"S043";-1.30102999566398;1;0
"S045";-1.30102999566398;7;0
"S055";-1.30102999566398;7;1
"S078";-1.30102999566398;1;1
"S085";-1.30102999566398;4;1
"S092";-1.30102999566398;1;1
"S118";-1.30102999566398;7;1
"S128";-1.30102999566398;5;1
"S144";-1.30102999566398;7;1
"S191";-1.30102999566398;1;0
"S019";-1.30102999566398;2;0
"S022";-1.30102999566398;2;0
"S037";-1.30102999566398;1;1
"S039";-1.30102999566398;5;0
"S057";-1.30102999566398;3;0
"S060";-1.30102999566398;0;1
"S071";-1.30102999566398;1;0
"S073";-1.30102999566398;2;0
"S076";-1.30102999566398;7;0
"S088";-1.30102999566398;2;0
"S093";-1.30102999566398;3;0
"S101";-1.30102999566398;6;0
"S119";-1.30102999566398;0;1
"S120";-1.30102999566398;1;0
"S123";-1.30102999566398;0;0
"S125";-1.30102999566398;4;0
"S130";-1.30102999566398;3;0
"S147";-1.30102999566398;7;0
"S148";-1.30102999566398;3;0
"S153";-1.30102999566398;2;0
"S168";-1.30102999566398;4;0
"S184";-1.30102999566398;1;1
"S185";-1.30102999566398;0;0
"S074";-1.30102999566398;7;1
"S110";-1.30102999566398;8;1
"S165";-1.30102999566398;3;1
"S041";-1.30102999566398;1;1
"S053";-1.30102999566398;7;0
"S161";-1.30102999566398;0;1
"S174";-1.30102999566398;2;0
"S068";-1.30102999566398;2;0
"S166";-1.30102999566398;5;0
"S063";-1.30102999566398;8;0
"S004";-1.30102999566398;3;1
"S094";-1.30102999566398;1;0
"S105";-1.30102999566398;5;0
"S117";-1.30102999566398;1;0
"S146";-1.30102999566398;0;0
"S163";-1.30102999566398;1;0
"S024";-1.30102999566398;1;0
"S036";-1.30102999566398;2;0
"S044";-1.30102999566398;2;0
"S047";-1.30102999566398;4;0
"S048";-1.30102999566398;1;0
"S086";-1.30102999566398;1;0
"S095";-1.30102999566398;3;0
"S100";-1.30102999566398;5;0
"S138";-1.30102999566398;3;0
"S141";-1.30102999566398;3;0
"S158";-1.30102999566398;1;0
"S159";-1.30102999566398;2;0
"S187";-1.30102999566398;4;0
"S070";-1.30102999566398;7;1
"S083";-1.30102999566398;5;0
"S096";-1.30102999566398;7;0
"S108";-1.30102999566398;5;1
"S164";-1.30102999566398;3;1
"S178";-1.30102999566398;5;1
"S189";-1.30102999566398;4;1
"S194";-1.30102999566398;9;1
"S006";-1.30102999566398;1;1
"S145";-1.30102999566398;3;0
"S188";-1.30102999566398;0;1
"S032";-1.30102999566398;6;1
"S066";-1.30102999566398;6;0
"S029";-1.30102999566398;4;0
"S062";-1.30102999566398;1;0
"S133";-1.30102999566398;2;0
"S136";-1.30102999566398;6;0
"S149";-1.30102999566398;1;0
"S162";-1.30102999566398;6;0
"S173";-1.30102999566398;2;0
"S011";-1.30102999566398;1;1
"S034";-1.30102999566398;3;1
"S042";-1.30102999566398;2;1
"S081";-1.30102999566398;4;1
"S091";-1.30102999566398;2;1
"S170";-1.30102999566398;1;1
"S192";-1.30102999566398;7;0
"S007";-1.30102999566398;7;0
"S016";-1.30102999566398;4;1
"S098";-1.30102999566398;5;0
"S103";-1.30102999566398;7;0
"S111";-1.30102999566398;3;1
"S167";-1.30102999566398;4;0
"S180";-1.30102999566398;6;0
"S114";-1.30102999566398;4;0
"S031";-1.30102999566398;2;1
"S082";-1.30102999566398;7;1
"S151";-1.30102999566398;3;1
"S157";-1.30102999566398;6;1
"S001";-1.30102999566398;0;1
"S010";-1.30102999566398;9;0
"S107";-1.30102999566398;2;1
"S003";-1.30102999566398;7;1
"S077";-1.30102999566398;7;0
"S097";-1.30102999566398;7;1
"S142";-1.30102999566398;7;1
"S183";-1.30102999566398;1;1
"S017";-1.30102999566398;5;1
"S140";-1.30102999566398;7;1
"S033";-1.30102999566398;2;0
"S113";-1.30102999566398;3;1
"S050";-1.30102999566398;1;1
"S116";-1.30102999566398;4;0
"S067";-1.30102999566398;8;0
"S124";-1.30102999566398;5;1
"S131";-1.30102999566398;10;0
"S002";-1.04095860767891;6;1
"S005";-1.04095860767891;3;0
"S008";-1.04095860767891;5;1
"S009";-1.04095860767891;4;1
"S012";-1.04095860767891;5;1
"S013";-1.04095860767891;9;1
"S014";-1.04095860767891;5;1
"S015";-1.04095860767891;4;1
"S021";-1.04095860767891;2;0
"S023";-1.04095860767891;1;0
"S026";-1.04095860767891;1;0
"S028";-1.04095860767891;4;0
"S030";-1.04095860767891;6;0
"S038";-1.04095860767891;3;0
"S040";-1.04095860767891;3;1
"S046";-1.04095860767891;1;0
"S049";-1.04095860767891;1;0
"S051";-1.04095860767891;1;1
"S052";-1.04095860767891;4;1
"S054";-1.04095860767891;6;1
"S058";-1.04095860767891;3;1
"S059";-1.04095860767891;6;1
"S061";-1.04095860767891;2;0
"S064";-1.04095860767891;6;0
"S069";-1.04095860767891;5;0
"S072";-1.04095860767891;4;1
"S079";-1.04095860767891;8;1
"S080";-1.04095860767891;2;0
"S087";-1.04095860767891;3;0
"S090";-1.04095860767891;5;1
"S099";-1.04095860767891;9;1
"S102";-1.04095860767891;10;1
"S104";-1.04095860767891;5;0
"S112";-1.04095860767891;6;0
"S115";-1.04095860767891;5;1
"S121";-1.04095860767891;2;1
"S122";-1.04095860767891;2;0
"S126";-1.04095860767891;1;1
"S127";-1.04095860767891;9;0
"S129";-1.04095860767891;3;0
"S132";-1.04095860767891;2;0
"S134";-1.04095860767891;8;1
"S135";-1.04095860767891;1;0
"S137";-1.04095860767891;1;0
"S139";-1.04095860767891;2;0
"S143";-1.04095860767891;1;0
"S150";-1.04095860767891;1;0
"S152";-1.04095860767891;5;1
"S154";-1.04095860767891;7;1
"S155";-1.04095860767891;7;1
"S156";-1.04095860767891;4;1
"S160";-1.04095860767891;4;0
"S169";-1.04095860767891;6;1
"S171";-1.04095860767891;0;0
"S172";-1.04095860767891;5;0
"S175";-1.04095860767891;2;1
"S176";-1.04095860767891;9;1
"S177";-1.04095860767891;0;0
"S179";-1.04095860767891;2;0
"S181";-1.04095860767891;3;0
"S182";-1.04095860767891;8;0
"S186";-1.04095860767891;3;0
"S190";-1.04095860767891;2;0
"S193";-1.04095860767891;3;0
"S018";-1.04095860767891;5;1
"S075";-1.04095860767891;2;1
"S084";-1.04095860767891;8;0
"S106";-1.04095860767891;2;0
"S109";-1.04095860767891;4;0
"S056";-1.04095860767891;5;0
"S065";-1.04095860767891;7;1
"S020";-1.04095860767891;5;0
"S025";-1.04095860767891;2;0
"S027";-1.04095860767891;2;0
"S035";-1.04095860767891;3;0
"S043";-1.04095860767891;1;1
"S045";-1.04095860767891;2;0
"S055";-1.04095860767891;5;1
"S078";-1.04095860767891;6;0
"S085";-1.04095860767891;3;0
"S092";-1.04095860767891;1;1
"S118";-1.04095860767891;6;0
"S128";-1.04095860767891;3;0
"S144";-1.04095860767891;4;0
"S191";-1.04095860767891;0;0
"S019";-1.04095860767891;3;0
"S022";-1.04095860767891;7;0
"S037";-1.04095860767891;2;0
"S039";-1.04095860767891;4;1
"S057";-1.04095860767891;1;1
"S060";-1.04095860767891;3;0
"S071";-1.04095860767891;1;1
"S073";-1.04095860767891;1;1
"S076";-1.04095860767891;2;1
"S088";-1.04095860767891;5;0
"S093";-1.04095860767891;1;1
"S101";-1.04095860767891;5;1
"S119";-1.04095860767891;2;0
"S120";-1.04095860767891;1;1
"S123";-1.04095860767891;0;1
"S125";-1.04095860767891;2;1
"S130";-1.04095860767891;1;1
"S147";-1.04095860767891;4;1
"S148";-1.04095860767891;2;1
"S153";-1.04095860767891;3;0
"S168";-1.04095860767891;3;1
"S184";-1.04095860767891;3;0
"S185";-1.04095860767891;0;1
"S074";-1.04095860767891;6;1
"S110";-1.04095860767891;9;1
"S165";-1.04095860767891;3;1
"S041";-1.04095860767891;3;1
"S053";-1.04095860767891;7;1
"S161";-1.04095860767891;2;1
"S174";-1.04095860767891;3;1
"S068";-1.04095860767891;4;1
"S166";-1.04095860767891;6;1
"S063";-1.04095860767891;9;0
"S004";-1.04095860767891;3;0
"S094";-1.04095860767891;0;1
"S105";-1.04095860767891;2;1
"S117";-1.04095860767891;1;0
"S146";-1.04095860767891;1;0
"S163";-1.04095860767891;2;0
"S024";-1.04095860767891;2;1
"S036";-1.04095860767891;2;1
"S044";-1.04095860767891;2;1
"S047";-1.04095860767891;5;1
"S048";-1.04095860767891;2;1
"S086";-1.04095860767891;2;1
"S095";-1.04095860767891;6;1
"S100";-1.04095860767891;7;1
"S138";-1.04095860767891;4;1
"S141";-1.04095860767891;3;1
"S158";-1.04095860767891;2;1
"S159";-1.04095860767891;3;1
"S187";-1.04095860767891;5;0
"S070";-1.04095860767891;4;1
"S083";-1.04095860767891;6;0
"S096";-1.04095860767891;8;0
"S108";-1.04095860767891;2;1
"S164";-1.04095860767891;1;1
"S178";-1.04095860767891;5;1
"S189";-1.04095860767891;4;1
"S194";-1.04095860767891;4;1
"S006";-1.04095860767891;3;1
"S145";-1.04095860767891;7;1
"S188";-1.04095860767891;2;1
"S032";-1.04095860767891;7;1
"S066";-1.04095860767891;4;1
"S029";-1.04095860767891;3;1
"S062";-1.04095860767891;3;0
"S133";-1.04095860767891;3;1
"S136";-1.04095860767891;7;1
"S149";-1.04095860767891;3;1
"S162";-1.04095860767891;8;1
"S173";-1.04095860767891;2;1
"S011";-1.04095860767891;5;1
"S034";-1.04095860767891;2;1
"S042";-1.04095860767891;3;1
"S081";-1.04095860767891;8;1
"S091";-1.04095860767891;5;1
"S170";-1.04095860767891;1;1
"S192";-1.04095860767891;5;1
"S007";-1.04095860767891;8;0
"S016";-1.04095860767891;2;1
"S098";-1.04095860767891;7;0
"S103";-1.04095860767891;7;0
"S111";-1.04095860767891;2;1
"S167";-1.04095860767891;6;0
"S180";-1.04095860767891;4;0
"S114";-1.04095860767891;5;0
"S031";-1.04095860767891;2;1
"S082";-1.04095860767891;5;1
"S151";-1.04095860767891;2;1
"S157";-1.04095860767891;2;1
"S001";-1.04095860767891;0;1
"S010";-1.04095860767891;7;1
"S107";-1.04095860767891;3;1
"S003";-1.04095860767891;8;0
"S077";-1.04095860767891;10;1
"S097";-1.04095860767891;7;0
"S142";-1.04095860767891;6;1
"S183";-1.04095860767891;4;1
"S017";-1.04095860767891;4;1
"S140";-1.04095860767891;7;1
"S033";-1.04095860767891;2;0
"S113";-1.04095860767891;3;1
"S050";-1.04095860767891;3;1
"S116";-1.04095860767891;5;0
"S067";-1.04095860767891;9;0
"S124";-1.04095860767891;9;1
"S131";-1.04095860767891;5;0
"S002";-0.779891911959945;9;1
"S005";-0.779891911959945;5;1
"S008";-0.779891911959945;2;0
"S009";-0.779891911959945;5;1
"S012";-0.779891911959945;4;0
"S013";-0.779891911959945;7;0
"S014";-0.779891911959945;6;1
"S015";-0.779891911959945;5;1
"S021";-0.779891911959945;4;1
"S023";-0.779891911959945;0;0
"S026";-0.779891911959945;4;1
"S028";-0.779891911959945;3;0
"S030";-0.779891911959945;7;1
"S038";-0.779891911959945;6;1
"S040";-0.779891911959945;4;1
"S046";-0.779891911959945;1;0
"S049";-0.779891911959945;4;1
"S051";-0.779891911959945;0;0
"S052";-0.779891911959945;2;0
"S054";-0.779891911959945;3;0
