"subject";"log_concentration";"intensity";"AFC"
"S058";-0.779891911959945;1;0
"S059";-0.779891911959945;5;0
"S061";-0.779891911959945;4;1
"S064";-0.779891911959945;3;0
"S069";-0.779891911959945;4;0
"S072";-0.779891911959945;5;1
"S079";-0.779891911959945;10;1
"S080";-0.779891911959945;4;1
"S087";-0.779891911959945;5;1
"S090";-0.779891911959945;7;1
"S099";-0.779891911959945;10;1
"S102";-0.779891911959945;6;1
"S104";-0.779891911959945;7;1
"S112";-0.779891911959945;6;0
"S115";-0.779891911959945;5;0
"S121";-0.779891911959945;2;0
"S122";-0.779891911959945;2;0
"S126";-0.779891911959945;0;0
"S127";-0.779891911959945;4;0
"S129";-0.779891911959945;3;0
"S132";-0.779891911959945;4;1
"S134";-0.779891911959945;6;1
"S135";-0.779891911959945;2;0
"S137";-0.779891911959945;3;1
"S139";-0.779891911959945;5;1
"S143";-0.779891911959945;3;1
"S150";-0.779891911959945;7;1
"S152";-0.779891911959945;2;0
"S154";-0.779891911959945;8;1
"S155";-0.779891911959945;4;0
"S156";-0.779891911959945;5;1
"S160";-0.779891911959945;4;0
"S169";-0.779891911959945;3;1
"S171";-0.779891911959945;1;1
"S172";-0.779891911959945;4;1
"S175";-0.779891911959945;3;1
"S176";-0.779891911959945;9;1
"S177";-0.779891911959945;2;1
"S179";-0.779891911959945;7;1
"S181";-0.779891911959945;2;0
"S182";-0.779891911959945;2;0
"S186";-0.779891911959945;6;1
"S190";-0.779891911959945;3;1
"S193";-0.779891911959945;3;0
"S018";-0.779891911959945;8;0
"S075";-0.779891911959945;2;1
"S084";-0.779891911959945;9;0
"S106";-0.779891911959945;3;0
"S109";-0.779891911959945;5;0
"S056";-0.779891911959945;5;0
"S065";-0.779891911959945;8;1
"S020";-0.779891911959945;6;0
"S025";-0.779891911959945;3;0
"S027";-0.779891911959945;2;1
"S035";-0.779891911959945;3;1
"S043";-0.779891911959945;2;0
"S045";-0.779891911959945;9;0
"S055";-0.779891911959945;7;0
"S078";-0.779891911959945;4;1
"S085";-0.779891911959945;5;0
"S092";-0.779891911959945;2;0
"S118";-0.779891911959945;4;1
"S128";-0.779891911959945;4;0
"S144";-0.779891911959945;7;0
"S191";-0.779891911959945;0;1
"S019";-0.779891911959945;7;1
"S022";-0.779891911959945;8;1
"S037";-0.779891911959945;8;1
"S039";-0.779891911959945;7;1
"S057";-0.779891911959945;5;1
"S060";-0.779891911959945;6;1
"S071";-0.779891911959945;4;1
"S073";-0.779891911959945;9;1
"S076";-0.779891911959945;8;1
"S088";-0.779891911959945;6;1
"S093";-0.779891911959945;2;1
"S101";-0.779891911959945;6;1
"S119";-0.779891911959945;3;1
"S120";-0.779891911959945;3;1
"S123";-0.779891911959945;1;1
"S125";-0.779891911959945;6;1
"S130";-0.779891911959945;5;1
"S147";-0.779891911959945;6;1
"S148";-0.779891911959945;6;1
"S153";-0.779891911959945;5;1
"S168";-0.779891911959945;8;1
"S184";-0.779891911959945;6;1
"S185";-0.779891911959945;1;1
"S074";-0.779891911959945;6;1
"S110";-0.779891911959945;7;1
"S165";-0.779891911959945;4;1
"S041";-0.779891911959945;5;1
"S053";-0.779891911959945;6;1
"S161";-0.779891911959945;3;1
"S174";-0.779891911959945;7;1
"S068";-0.779891911959945;4;0
"S166";-0.779891911959945;5;0
"S063";-0.779891911959945;7;0
"S004";-0.779891911959945;4;0
"S094";-0.779891911959945;1;0
"S105";-0.779891911959945;7;0
"S117";-0.779891911959945;1;1
"S146";-0.779891911959945;2;1
"S163";-0.779891911959945;5;1
"S024";-0.779891911959945;1;1
"S036";-0.779891911959945;2;1
"S044";-0.779891911959945;1;1
"S047";-0.779891911959945;3;1
"S048";-0.779891911959945;2;1
"S086";-0.779891911959945;0;1
"S095";-0.779891911959945;5;1
"S100";-0.779891911959945;6;1
"S138";-0.779891911959945;4;1
"S141";-0.779891911959945;2;1
"S158";-0.779891911959945;3;0
"S159";-0.779891911959945;5;0
"S187";-0.779891911959945;6;0
"S070";-0.779891911959945;8;1
"S083";-0.779891911959945;7;1
"S096";-0.779891911959945;8;1
"S108";-0.779891911959945;6;1
"S164";-0.779891911959945;7;1
"S178";-0.779891911959945;8;1
"S189";-0.779891911959945;6;1
"S194";-0.779891911959945;6;1
"S006";-0.779891911959945;3;1
"S145";-0.779891911959945;6;1
"S188";-0.779891911959945;4;1
"S032";-0.779891911959945;6;1
"S066";-0.779891911959945;6;1
"S029";-0.779891911959945;2;1
"S062";-0.779891911959945;4;0
"S133";-0.779891911959945;3;1
"S136";-0.779891911959945;7;1
"S149";-0.779891911959945;4;1
"S162";-0.779891911959945;3;1
"S173";-0.779891911959945;5;1
"S011";-0.779891911959945;3;1
"S034";-0.779891911959945;2;1
"S042";-0.779891911959945;3;1
"S081";-0.779891911959945;9;0
"S091";-0.779891911959945;4;1
"S170";-0.779891911959945;1;1
"S192";-0.779891911959945;8;0
"S007";-0.779891911959945;6;1
"S016";-0.779891911959945;4;1
"S098";-0.779891911959945;6;1
"S103";-0.779891911959945;8;1
"S111";-0.779891911959945;3;1
"S167";-0.779891911959945;6;1
"S180";-0.779891911959945;5;1
"S114";-0.779891911959945;6;0
"S031";-0.779891911959945;4;1
"S082";-0.779891911959945;10;1
"S151";-0.779891911959945;4;1
"S157";-0.779891911959945;6;1
"S001";-0.779891911959945;1;1
"S010";-0.779891911959945;6;0
"S107";-0.779891911959945;5;1
"S003";-0.779891911959945;5;0
"S077";-0.779891911959945;8;0
"S097";-0.779891911959945;6;0
"S142";-0.779891911959945;6;0
"S183";-0.779891911959945;1;1
"S017";-0.779891911959945;3;1
"S140";-0.779891911959945;6;1
"S033";-0.779891911959945;2;0
"S113";-0.779891911959945;3;1
"S050";-0.779891911959945;3;1
"S116";-0.779891911959945;7;1
"S067";-0.779891911959945;8;0
"S124";-0.779891911959945;8;0
"S131";-0.779891911959945;4;0
"S002";-0.519993057042849;9;1
"S005";-0.519993057042849;7;1
"S008";-0.519993057042849;4;1
"S009";-0.519993057042849;9;1
"S012";-0.519993057042849;9;1
"S013";-0.519993057042849;10;1
"S014";-0.519993057042849;8;1
"S015";-0.519993057042849;7;1
"S021";-0.519993057042849;8;1
"S023";-0.519993057042849;7;1
"S026";-0.519993057042849;7;1
"S028";-0.519993057042849;6;1
"S030";-0.519993057042849;9;1
"S038";-0.519993057042849;7;1
"S040";-0.519993057042849;8;1
"S046";-0.519993057042849;1;0
"S049";-0.519993057042849;10;1
"S051";-0.519993057042849;3;1
"S052";-0.519993057042849;7;1
"S054";-0.519993057042849;8;1
"S058";-0.519993057042849;6;1
"S059";-0.519993057042849;8;1
"S061";-0.519993057042849;5;1
"S064";-0.519993057042849;6;1
"S069";-0.519993057042849;10;1
"S072";-0.519993057042849;7;1
"S079";-0.519993057042849;10;1
"S080";-0.519993057042849;5;1
"S087";-0.519993057042849;8;1
"S090";-0.519993057042849;6;1
"S099";-0.519993057042849;10;1
"S102";-0.519993057042849;10;1
"S104";-0.519993057042849;9;1
"S112";-0.519993057042849;9;1
"S115";-0.519993057042849;8;1
"S121";-0.519993057042849;3;1
"S122";-0.519993057042849;5;1
"S126";-0.519993057042849;0;0
"S127";-0.519993057042849;9;1
"S129";-0.519993057042849;6;1
"S132";-0.519993057042849;6;1
"S134";-0.519993057042849;10;1
"S135";-0.519993057042849;1;0
"S137";-0.519993057042849;5;1
"S139";-0.519993057042849;8;1
"S143";-0.519993057042849;8;1
"S150";-0.519993057042849;9;1
"S152";-0.519993057042849;6;1
"S154";-0.519993057042849;7;1
"S155";-0.519993057042849;5;1
"S156";-0.519993057042849;7;1
"S160";-0.519993057042849;5;1
"S169";-0.519993057042849;3;0
"S171";-0.519993057042849;8;1
"S172";-0.519993057042849;8;1
"S175";-0.519993057042849;7;1
"S176";-0.519993057042849;7;1
"S177";-0.519993057042849;4;1
"S179";-0.519993057042849;6;1
"S181";-0.519993057042849;1;0
"S182";-0.519993057042849;9;1
"S186";-0.519993057042849;9;1
"S190";-0.519993057042849;6;1
"S193";-0.519993057042849;8;1
"S018";-0.519993057042849;6;1
"S075";-0.519993057042849;6;0
"S084";-0.519993057042849;3;1
"S106";-0.519993057042849;2;1
"S109";-0.519993057042849;5;1
"S056";-0.519993057042849;6;0
"S065";-0.519993057042849;6;0
"S020";-0.519993057042849;7;1
"S025";-0.519993057042849;9;1
"S027";-0.519993057042849;3;1
"S035";-0.519993057042849;4;1
"S043";-0.519993057042849;5;1
"S045";-0.519993057042849;10;1
"S055";-0.519993057042849;8;1
"S078";-0.519993057042849;9;1
"S085";-0.519993057042849;7;1
"S092";-0.519993057042849;5;1
"S118";-0.519993057042849;7;1
"S128";-0.519993057042849;6;1
"S144";-0.519993057042849;9;1
"S191";-0.519993057042849;1;1
"S019";-0.519993057042849;5;1
"S022";-0.519993057042849;10;1
"S037";-0.519993057042849;7;1
"S039";-0.519993057042849;9;1
"S057";-0.519993057042849;6;1
"S060";-0.519993057042849;8;1
"S071";-0.519993057042849;7;1
"S073";-0.519993057042849;10;1
"S076";-0.519993057042849;9;1
"S088";-0.519993057042849;8;1
"S093";-0.519993057042849;4;1
"S101";-0.519993057042849;8;1
"S119";-0.519993057042849;6;1
"S120";-0.519993057042849;8;1
"S123";-0.519993057042849;4;1
"S125";-0.519993057042849;9;1
"S130";-0.519993057042849;10;1
"S147";-0.519993057042849;7;1
"S148";-0.519993057042849;9;1
"S153";-0.519993057042849;7;1
"S168";-0.519993057042849;10;1
"S184";-0.519993057042849;9;1
"S185";-0.519993057042849;5;1
"S074";-0.519993057042849;8;1
"S110";-0.519993057042849;8;1
"S165";-0.519993057042849;5;1
"S041";-0.519993057042849;7;1
"S053";-0.519993057042849;5;1
"S161";-0.519993057042849;7;1
"S174";-0.519993057042849;9;1
"S068";-0.519993057042849;3;1
"S166";-0.519993057042849;6;1
"S063";-0.519993057042849;2;0
"S004";-0.519993057042849;6;0
"S094";-0.519993057042849;2;0
"S105";-0.519993057042849;6;0
"S117";-0.519993057042849;1;1
"S146";-0.519993057042849;1;1
"S163";-0.519993057042849;3;1
"S024";-0.519993057042849;4;1
"S036";-0.519993057042849;3;1
"S044";-0.519993057042849;7;1
"S047";-0.519993057042849;8;1
"S048";-0.519993057042849;3;1
"S086";-0.519993057042849;4;1
"S095";-0.519993057042849;9;1
"S100";-0.519993057042849;8;1
"S138";-0.519993057042849;5;1
"S141";-0.519993057042849;3;1
"S158";-0.519993057042849;8;1
"S159";-0.519993057042849;6;1
"S187";-0.519993057042849;8;1
"S070";-0.519993057042849;9;1
"S083";-0.519993057042849;7;1
"S096";-0.519993057042849;10;1
"S108";-0.519993057042849;6;1
"S164";-0.519993057042849;9;1
"S178";-0.519993057042849;9;1
"S189";-0.519993057042849;7;1
"S194";-0.519993057042849;10;1
"S006";-0.519993057042849;4;1
"S145";-0.519993057042849;5;1
"S188";-0.519993057042849;5;1
"S032";-0.519993057042849;7;0
"S066";-0.519993057042849;8;1
"S029";-0.519993057042849;2;1
"S062";-0.519993057042849;6;0
"S133";-0.519993057042849;1;1
"S136";-0.519993057042849;4;1
"S149";-0.519993057042849;4;1
"S162";-0.519993057042849;3;1
"S173";-0.519993057042849;2;1
"S011";-0.519993057042849;9;1
"S034";-0.519993057042849;7;1
"S042";-0.519993057042849;10;1
"S081";-0.519993057042849;6;1
"S091";-0.519993057042849;7;1
"S170";-0.519993057042849;3;1
"S192";-0.519993057042849;7;1
"S007";-0.519993057042849;7;1
"S016";-0.519993057042849;9;1
"S098";-0.519993057042849;8;1
"S103";-0.519993057042849;8;1
"S111";-0.519993057042849;8;1
"S167";-0.519993057042849;8;1
"S180";-0.519993057042849;5;1
"S114";-0.519993057042849;7;0
"S031";-0.519993057042849;7;1
"S082";-0.519993057042849;10;1
"S151";-0.519993057042849;5;1
"S157";-0.519993057042849;8;1
"S001";-0.519993057042849;0;1
"S010";-0.519993057042849;8;0
"S107";-0.519993057042849;3;1
"S003";-0.519993057042849;9;1
"S077";-0.519993057042849;9;1
"S097";-0.519993057042849;6;1
"S142";-0.519993057042849;7;1
"S183";-0.519993057042849;7;1
"S017";-0.519993057042849;7;1
"S140";-0.519993057042849;8;1
"S033";-0.519993057042849;3;0
"S113";-0.519993057042849;4;1
"S050";-0.519993057042849;2;1
"S116";-0.519993057042849;5;0
"S067";-0.519993057042849;10;1
"S124";-0.519993057042849;9;1
"S131";-0.519993057042849;5;0
"S002";-0.259637310505756;10;1
"S005";-0.259637310505756;7;1
"S008";-0.259637310505756;7;1
"S009";-0.259637310505756;10;1
"S012";-0.259637310505756;5;1
"S013";-0.259637310505756;10;1
"S014";-0.259637310505756;8;1
"S015";-0.259637310505756;6;1
"S021";-0.259637310505756;10;1
"S023";-0.259637310505756;9;1
"S026";-0.259637310505756;9;1
"S028";-0.259637310505756;7;1
"S030";-0.259637310505756;10;1
"S038";-0.259637310505756;9;1
"S040";-0.259637310505756;10;1
"S046";-0.259637310505756;3;1
"S049";-0.259637310505756;8;1
"S051";-0.259637310505756;2;1
"S052";-0.259637310505756;9;1
"S054";-0.259637310505756;10;1
"S058";-0.259637310505756;8;1
"S059";-0.259637310505756;9;1
"S061";-0.259637310505756;10;1
"S064";-0.259637310505756;8;1
"S069";-0.259637310505756;10;1
"S072";-0.259637310505756;7;1
"S079";-0.259637310505756;8;1
"S080";-0.259637310505756;6;1
"S087";-0.259637310505756;10;1
"S090";-0.259637310505756;9;1
"S099";-0.259637310505756;10;1
"S102";-0.259637310505756;10;1
"S104";-0.259637310505756;10;1
"S112";-0.259637310505756;10;1
"S115";-0.259637310505756;10;1
"S121";-0.259637310505756;4;1
"S122";-0.259637310505756;9;1
"S126";-0.259637310505756;2;1
"S127";-0.259637310505756;10;1
"S129";-0.259637310505756;8;1
"S132";-0.259637310505756;8;1
"S134";-0.259637310505756;10;1
"S135";-0.259637310505756;6;1
"S137";-0.259637310505756;7;1
"S139";-0.259637310505756;8;1
"S143";-0.259637310505756;10;1
"S150";-0.259637310505756;10;1
"S152";-0.259637310505756;8;1
"S154";-0.259637310505756;7;1
"S155";-0.259637310505756;7;1
"S156";-0.259637310505756;7;1
"S160";-0.259637310505756;7;1
"S169";-0.259637310505756;7;1
"S171";-0.259637310505756;9;1
"S172";-0.259637310505756;1;0
"S175";-0.259637310505756;9;1
"S176";-0.259637310505756;10;1
"S177";-0.259637310505756;9;1
"S179";-0.259637310505756;10;1
"S181";-0.259637310505756;7;1
"S182";-0.259637310505756;10;1
"S186";-0.259637310505756;10;1
"S190";-0.259637310505756;9;1
"S193";-0.259637310505756;8;1
"S018";-0.259637310505756;9;1
"S075";-0.259637310505756;10;1
"S084";-0.259637310505756;9;1
"S106";-0.259637310505756;7;1
"S109";-0.259637310505756;6;1
"S056";-0.259637310505756;6;1
"S065";-0.259637310505756;7;0
"S020";-0.259637310505756;10;1
"S025";-0.259637310505756;10;1
"S027";-0.259637310505756;8;1
"S035";-0.259637310505756;5;1
"S043";-0.259637310505756;4;1
"S045";-0.259637310505756;10;1
"S055";-0.259637310505756;9;1
"S078";-0.259637310505756;10;1
"S085";-0.259637310505756;8;1
"S092";-0.259637310505756;6;1
"S118";-0.259637310505756;8;1
"S128";-0.259637310505756;9;1
"S144";-0.259637310505756;10;1
"S191";-0.259637310505756;2;1
"S019";-0.259637310505756;10;1
"S022";-0.259637310505756;10;1
"S037";-0.259637310505756;10;1
"S039";-0.259637310505756;10;1
"S057";-0.259637310505756;9;1
"S060";-0.259637310505756;8;1
"S071";-0.259637310505756;10;1
"S073";-0.259637310505756;10;1
"S076";-0.259637310505756;10;1
"S088";-0.259637310505756;10;1
"S093";-0.259637310505756;9;1
"S101";-0.259637310505756;9;1
"S119";-0.259637310505756;8;1
"S120";-0.259637310505756;9;1
"S123";-0.259637310505756;7;1
"S125";-0.259637310505756;10;1
"S130";-0.259637310505756;10;1
"S147";-0.259637310505756;10;1
"S148";-0.259637310505756;10;1
"S153";-0.259637310505756;6;1
"S168";-0.259637310505756;8;1
"S184";-0.259637310505756;10;1
"S185";-0.259637310505756;7;1
"S074";-0.259637310505756;8;1
"S110";-0.259637310505756;10;1
"S165";-0.259637310505756;5;1
"S041";-0.259637310505756;6;1
"S053";-0.259637310505756;10;1
"S161";-0.259637310505756;8;1
"S174";-0.259637310505756;8;1
"S068";-0.259637310505756;3;1
"S166";-0.259637310505756;4;1
"S063";-0.259637310505756;9;0
"S004";-0.259637310505756;7;1
"S094";-0.259637310505756;10;1
"S105";-0.259637310505756;8;1
"S117";-0.259637310505756;9;1
"S146";-0.259637310505756;6;1
"S163";-0.259637310505756;7;1
"S024";-0.259637310505756;10;1
"S036";-0.259637310505756;6;1
"S044";-0.259637310505756;10;1
"S047";-0.259637310505756;10;1
"S048";-0.259637310505756;5;1
"S086";-0.259637310505756;7;1
"S095";-0.259637310505756;10;1
"S100";-0.259637310505756;9;1
"S138";-0.259637310505756;6;1
"S141";-0.259637310505756;8;1
"S158";-0.259637310505756;8;1
"S159";-0.259637310505756;8;1
"S187";-0.259637310505756;8;1
"S070";-0.259637310505756;10;1
"S083";-0.259637310505756;10;1
"S096";-0.259637310505756;10;1
"S108";-0.259637310505756;8;1
"S164";-0.259637310505756;10;1
"S178";-0.259637310505756;10;1
"S189";-0.259637310505756;8;1
"S194";-0.259637310505756;10;1
"S006";-0.259637310505756;4;1
"S145";-0.259637310505756;9;1
"S188";-0.259637310505756;7;1
"S032";-0.259637310505756;8;1
"S066";-0.259637310505756;3;0
"S029";-0.259637310505756;8;1
"S062";-0.259637310505756;9;1
"S133";-0.259637310505756;4;1
"S136";-0.259637310505756;9;1
"S149";-0.259637310505756;6;1
"S162";-0.259637310505756;9;1
"S173";-0.259637310505756;6;1
"S011";-0.259637310505756;8;1
"S034";-0.259637310505756;8;1
"S042";-0.259637310505756;10;1
"S081";-0.259637310505756;8;1
"S091";-0.259637310505756;9;1
"S170";-0.259637310505756;5;1
"S192";-0.259637310505756;9;1
"S007";-0.259637310505756;7;1
"S016";-0.259637310505756;10;1
"S098";-0.259637310505756;9;1
"S103";-0.259637310505756;9;1
"S111";-0.259637310505756;9;1
"S167";-0.259637310505756;8;1
"S180";-0.259637310505756;10;1
"S114";-0.259637310505756;7;0
"S031";-0.259637310505756;9;1
"S082";-0.259637310505756;6;1
"S151";-0.259637310505756;7;1
"S157";-0.259637310505756;10;1
"S001";-0.259637310505756;1;1
"S010";-0.259637310505756;10;1
"S107";-0.259637310505756;8;1
"S003";-0.259637310505756;9;1
"S077";-0.259637310505756;10;1
"S097";-0.259637310505756;10;1
"S142";-0.259637310505756;8;1
"S183";-0.259637310505756;9;1
"S017";-0.259637310505756;10;1
"S140";-0.259637310505756;9;1
"S033";-0.259637310505756;3;0
"S113";-0.259637310505756;3;1
"S050";-0.259637310505756;5;1
"S116";-0.259637310505756;6;1
"S067";-0.259637310505756;8;0
"S124";-0.259637310505756;9;0
"S131";-0.259637310505756;5;0
"S002";0.000434077479318593;10;1
"S005";0.000434077479318593;9;1
"S008";0.000434077479318593;10;1
"S009";0.000434077479318593;10;1
"S012";0.000434077479318593;10;1
"S013";0.000434077479318593;10;1
"S014";0.000434077479318593;9;1
"S015";0.000434077479318593;8;1
"S021";0.000434077479318593;10;1
"S023";0.000434077479318593;9;1
"S026";0.000434077479318593;10;1
"S028";0.000434077479318593;8;1
"S030";0.000434077479318593;10;1
"S038";0.000434077479318593;10;1
"S040";0.000434077479318593;10;1
"S046";0.000434077479318593;3;1
"S049";0.000434077479318593;10;1
"S051";0.000434077479318593;4;1
"S052";0.000434077479318593;10;1
"S054";0.000434077479318593;10;1
"S058";0.000434077479318593;9;1
"S059";0.000434077479318593;9;1
"S061";0.000434077479318593;10;1
"S064";0.000434077479318593;10;1
"S069";0.000434077479318593;9;1
"S072";0.000434077479318593;7;1
"S079";0.000434077479318593;10;1
"S080";0.000434077479318593;8;1
"S087";0.000434077479318593;10;1
"S090";0.000434077479318593;10;1
"S099";0.000434077479318593;10;1
"S102";0.000434077479318593;10;1
"S104";0.000434077479318593;10;1
"S112";0.000434077479318593;10;1
"S115";0.000434077479318593;10;1
"S121";0.000434077479318593;9;1
"S122";0.000434077479318593;10;1
"S126";0.000434077479318593;6;1
"S127";0.000434077479318593;10;1
"S129";0.000434077479318593;9;1
"S132";0.000434077479318593;9;1
"S134";0.000434077479318593;10;1
"S135";0.000434077479318593;9;1
"S137";0.000434077479318593;8;1
"S139";0.000434077479318593;10;1
"S143";0.000434077479318593;10;1
"S150";0.000434077479318593;10;1
"S152";0.000434077479318593;9;1
"S154";0.000434077479318593;9;1
"S155";0.000434077479318593;9;1
"S156";0.000434077479318593;9;1
"S160";0.000434077479318593;10;1
"S169";0.000434077479318593;9;1
"S171";0.000434077479318593;9;1
"S172";0.000434077479318593;9;1
"S175";0.000434077479318593;10;1
"S176";0.000434077479318593;10;1
"S177";0.000434077479318593;9;1
"S179";0.000434077479318593;9;1
"S181";0.000434077479318593;9;1
"S182";0.000434077479318593;10;1
"S186";0.000434077479318593;10;1
"S190";0.000434077479318593;10;1
"S193";0.000434077479318593;9;1
"S018";0.000434077479318593;10;1
"S075";0.000434077479318593;9;1
"S084";0.000434077479318593;10;1
"S106";0.000434077479318593;8;1
"S109";0.000434077479318593;7;1
"S056";0.000434077479318593;9;1
"S065";0.000434077479318593;9;1
"S020";0.000434077479318593;9;1
"S025";0.000434077479318593;10;1
"S027";0.000434077479318593;9;1
"S035";0.000434077479318593;8;1
"S043";0.000434077479318593;8;1
"S045";0.000434077479318593;10;1
"S055";0.000434077479318593;10;1
"S078";0.000434077479318593;10;1
"S085";0.000434077479318593;9;1
"S092";0.000434077479318593;7;1
"S118";0.000434077479318593;9;1
"S128";0.000434077479318593;10;1
"S144";0.000434077479318593;10;1
"S191";0.000434077479318593;3;1
"S019";0.000434077479318593;10;1
"S022";0.000434077479318593;10;1
"S037";0.000434077479318593;10;1
"S039";0.000434077479318593;10;1
"S057";0.000434077479318593;10;1
"S060";0.000434077479318593;9;1
"S071";0.000434077479318593;10;1
"S073";0.000434077479318593;10;1
"S076";0.000434077479318593;10;1
"S088";0.000434077479318593;10;1
"S093";0.000434077479318593;10;1
"S101";0.000434077479318593;10;1
"S119";0.000434077479318593;10;1
"S120";0.000434077479318593;10;1
"S123";0.000434077479318593;8;1
"S125";0.000434077479318593;10;1
"S130";0.000434077479318593;10;1
"S147";0.000434077479318593;10;1
"S148";0.000434077479318593;10;1
"S153";0.000434077479318593;9;1
"S168";0.000434077479318593;10;1
"S184";0.000434077479318593;10;1
"S185";0.000434077479318593;7;1
"S074";0.000434077479318593;9;1
"S110";0.000434077479318593;10;1
"S165";0.000434077479318593;6;1
"S041";0.000434077479318593;8;1
"S053";0.000434077479318593;10;1
"S161";0.000434077479318593;9;1
"S174";0.000434077479318593;7;1
"S068";0.000434077479318593;6;1
"S166";0.000434077479318593;8;1
"S063";0.000434077479318593;2;0
"S004";0.000434077479318593;8;1
"S094";0.000434077479318593;10;1
"S105";0.000434077479318593;10;1
"S117";0.000434077479318593;10;1
"S146";0.000434077479318593;8;1
"S163";0.000434077479318593;8;1
"S024";0.000434077479318593;10;1
"S036";0.000434077479318593;7;1
"S044";0.000434077479318593;10;1
"S047";0.000434077479318593;10;1
"S048";0.000434077479318593;6;1
"S086";0.000434077479318593;10;1
"S095";0.000434077479318593;10;1
"S100";0.000434077479318593;10;1
"S138";0.000434077479318593;7;1
"S141";0.000434077479318593;9;1
"S158";0.000434077479318593;10;1
"S159";0.000434077479318593;10;1
"S187";0.000434077479318593;9;1
"S070";0.000434077479318593;10;1
"S083";0.000434077479318593;10;1
"S096";0.000434077479318593;10;1
"S108";0.000434077479318593;9;1
"S164";0.000434077479318593;10;1
"S178";0.000434077479318593;8;1
"S189";0.000434077479318593;9;1
"S194";0.000434077479318593;10;1
"S006";0.000434077479318593;3;1
"S145";0.000434077479318593;10;1
"S188";0.000434077479318593;9;1
"S032";0.000434077479318593;8;0
"S066";0.000434077479318593;7;1
"S029";0.000434077479318593;10;1
"S062";0.000434077479318593;10;1
"S133";0.000434077479318593;9;1
"S136";0.000434077479318593;10;1
"S149";0.000434077479318593;8;1
"S162";0.000434077479318593;10;1
"S173";0.000434077479318593;7;1
"S011";0.000434077479318593;10;1
"S034";0.000434077479318593;10;1
"S042";0.000434077479318593;10;1
"S081";0.000434077479318593;10;1
"S091";0.000434077479318593;10;1
"S170";0.000434077479318593;8;1
"S192";0.000434077479318593;10;1
"S007";0.000434077479318593;8;1
"S016";0.000434077479318593;10;1
"S098";0.000434077479318593;10;1
"S103";0.000434077479318593;10;1
"S111";0.000434077479318593;10;1
"S167";0.000434077479318593;9;1
"S180";0.000434077479318593;10;1
"S114";0.000434077479318593;7;1
"S031";0.000434077479318593;10;1
"S082";0.000434077479318593;9;1
"S151";0.000434077479318593;8;1
"S157";0.000434077479318593;10;1
"S001";0.000434077479318593;2;1
"S010";0.000434077479318593;10;1
"S107";0.000434077479318593;9;1
"S003";0.000434077479318593;10;1
"S077";0.000434077479318593;10;1
"S097";0.000434077479318593;10;1
"S142";0.000434077479318593;8;1
"S183";0.000434077479318593;9;1
"S017";0.000434077479318593;10;1
"S140";0.000434077479318593;10;1
"S033";0.000434077479318593;3;1
"S113";0.000434077479318593;6;1
"S050";0.000434077479318593;7;1
"S116";0.000434077479318593;6;0
"S067";0.000434077479318593;10;1
"S124";0.000434077479318593;7;1
"S131";0.000434077479318593;10;1
